,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Color,Es smart,Es 3D,Es curvo,Es portátil,Cantidad de núcleos del procesador,Sistema operativo,Con apagado automático,Con cables ocultos,Con sistema de montaje VESA incorporado,Ancho x Profundidad x Altura,Peso,Ancho con soporte,Profundidad con soporte,Altura con soporte,Peso con soporte,Cantidad de parlantes,Potencia máxima de los parlantes,Modos de sonido,Accesorios incluidos,Con función screen share,Con comando de voz integrado,Apps integradas,Tipo de display,Tamaño de la pantalla,Tipo de resolución,Con HDR,Resolución máxima,Ángulo de visión horizontal,Ángulo de visión vertical,Relación de aspecto,Relación de contraste,Brillo,Tiempo de respuesta,Frecuencia de actualización de la pantalla,Con USB,Con HDMI,Cantidad de puertos HDMI,Cantidad de puertos USB,Con Wi-Fi,Con Bluetooth,Con ethernet,Con VGA,Con entrada S/PDIF,Con entrada por video componentes,Con entrada por video compuesto,Con entrada de antena RF,Es kit,Voltaje,Capacidad de almacenamiento,Asistentes virtuales integrados,Frecuencia,Países con control mágico incluido,Es inflamable
0,Pantalla Tcl 50s453 50'' 4k Uhd Hdr10 Roku Tv Dolby Digital+,MX,4.7,Televisores,$,10099,7199,28,1000,1,None,106,https://articulo.mercadolibre.com.mx/MLM-1490978988-pantalla-tcl-50s453-50-4k-uhd-hdr10-roku-tv-dolby-digital-_JM#position=44&search_layout=stack&type=item&tracking_id=14aea2f6-5059-48d5-970f-7c87ebdb,22/03/2023 11:29:35,TCL,Series 4,50S453,50S453,Negro,Sí,No,No,No,4,Roku TV,No,No,Sí,"43.8 "" x 3.2 "" x 25.4 """,18.1 lb,"43.8 ""","10.1 ""","27.1 """,18.5 lb,2,10 W,Dolby Digital Plus,"Cable corriente,Control",No,Sí,"Disney+AppleTV,HBO Max,Hulu,Netflix,YouTube",LED,"50 """,4K,Sí,3840 px - 2160 px,178°,178°,16:9,5000:1,260 cd/m²,8 ms,60 Hz,Sí,Sí,4,1,Sí,Sí,Sí,No,No,No,Sí,Sí,No,,,,,,
1,Televisión Inteligente Wahaha 32'' Smart Tv Lcd S5,MX,3.9,Televisores,$,3364,2569,9,500,1,None,53,https://articulo.mercadolibre.com.mx/MLM-1696934404-television-inteligente-wahaha-32-smart-tv-lcd-s5-_JM#position=47&search_layout=stack&type=item&tracking_id=14aea2f6-5059-48d5-970f-7c87ebdb2294,22/03/2023 11:29:49,Wahaha,,32N1,,Negro,Sí,No,No,Sí,,,,,,,,,,,,,,,,,,,LCD,"32 """,HD,Sí,,,,,,,,,Sí,Sí,,,,,,,,,,,,110V,,,,,
2,"Smart TV TCL Series S3 32S351 HD 32""",MX,None,Televisores,$,4899,3599,26,1000,1,None,,https://www.mercadolibre.com.mx/smart-tv-tcl-series-s3-32s351-hd-32/p/MLM19884368?pdp_filters=category:MLM1002#searchVariation=MLM19884368&position=3&search_layout=stack&type=product&tracking_id=14aea,22/03/2023 11:30:01,TCL,Series S3,32S351,,,Sí,,No,,4,Roku OS,,,,73 cm x 7.4 cm x 43.7 cm,,73 cm,18 cm,48.1 cm,,,,Dolby Digital Plus,"Control remoto, Base",No,Sí,"Roku App, Netflix, Disney+, Apple TV, HBO, Pluto TV, Directv GO, Roku Channel",,"32 """,HD,No,,,,16:9,,,,60 Hz,Sí,Sí,3,1,Sí,No,,,Sí,,Sí,,,,500 MB,Google Assistant,,,
3,"Smart TV Onn. 100012589 LED HD 32"" 100V/240V",MX,None,Televisores,$,3312,2748,17,10,1,None,,https://www.mercadolibre.com.mx/smart-tv-onn-100012589-led-hd-32-100v240v/p/MLM15588420?pdp_filters=category:MLM1002#searchVariation=MLM15588420&position=4&search_layout=stack&type=product&tracking_id,22/03/2023 11:30:05,Onn.,,100012589,,,Sí,,,,,Roku OS,,,,"28.97 "" x 2.93 "" x 17.09 """,7.72 lb,"28.97 ""","17.12 ""","18.69 """,11.46 lb,,,,"Control remoto, Baterías, Cable de alimentación",,,"Netflix, YouTube, Hulu, Vudu, HBO, Google Play Store",LED,"32 """,HD,,1366 px - 768 px,,,16:9,3000:1,240 cd/m²,8.5 ms,,Sí,Sí,3,1,Sí,,,,Sí,,Sí,,,100V/240V,,,,,
4,Televisor Hisense A6gv 43  Uhd 4k Smart 43a6gv,MX,4.7,Televisores,$,10499,5999,42,1000,1,None,206,https://www.mercadolibre.com.mx/televisor-hisense-a6gv-43-uhd-4k-smart-43a6gv/p/MLM19804235?pdp_filters=category:MLM1002#searchVariation=MLM19804235&position=6&search_layout=stack&type=product&trackin,22/03/2023 11:30:13,Hisense,,43A6GV,43A6GV,Negro,Sí,No,No,No,,,,,,,,,,,,,,,,,,,LED,"43 """,,No,,,,,,,,,Sí,Sí,,,Sí,,,,,,,,,,,,,,
5,Smart Tv Tlc 32a345 32 PuLG Hd/fhd Android Bluetooth Dolby,MX,5.0,Televisores,$,,3710,,25,1,None,2,https://www.mercadolibre.com.mx/smart-tv-tlc-32a345-32-pulg-hdfhd-android-bluetooth-dolby/p/MLM20466468?pdp_filters=category:MLM1002#searchVariation=MLM20466468&position=7&search_layout=stack&type=pro,22/03/2023 11:30:16,TCL,,32A345,,Negro,Sí,No,No,No,,,,,,,,,,,,,,,,,,,LED,"32 """,HD,,,,,,,,,,,Sí,,,,Sí,,,,,,,,,,,,,
6,"Smart TV Hisense 50A65HV LED 4K 50"" 120V",MX,4.7,Televisores,$,13499,7269,46,1000,1,None,86,https://www.mercadolibre.com.mx/smart-tv-hisense-50a65hv-led-4k-50-120v/p/MLM19821776?pdp_filters=category:MLM1002#searchVariation=MLM19821776&position=10&search_layout=stack&type=product&tracking_id=,22/03/2023 11:30:20,Hisense,,50A65HV,,,Sí,,No,,,Vidaa,,,,,,,,,,,16 W,DTS Virtual:X,"Control remoto, Base",,Sí,"Netflix, Disney+, Prime Video, YouTube",LED,"50 """,4K,,3840 px - 2160 px,,,16:9,,,,120 Hz,Sí,Sí,3,2,Sí,Sí,Sí,,Sí,,Sí,Sí,,120V,,"Google Assistant, Alexa",,,
7,"Smart TV Hisense U6 Series 50U6H LCD 4K 50"" 120V",MX,4.8,Televisores,$,18799,8799,53,500,1,None,47,https://www.mercadolibre.com.mx/smart-tv-hisense-u6-series-50u6h-lcd-4k-50-120v/p/MLM19885733?pdp_filters=category:MLM1002#searchVariation=MLM19885733&position=11&search_layout=stack&type=product&trac,22/03/2023 11:30:24,Hisense,U6 Series,50U6H,,,Sí,,No,,,Google TV,Sí,,Sí,"43.9 "" x 3 "" x 25.7 """,24.5 lb,"43.9 ""","12 ""","27.9 """,24.9 lb,2,20 W,"Surround, Dolby Atmos","Manual, Cable de alimentación, Baterías, Control remoto, Guía de instalación",Sí,Sí,"Web browser, Google Play Store, YouTube",LCD,"50 """,4K,Sí,,,,16:9,,600 cd/m²,8 ms,240 Hz,Sí,Sí,4,2,Sí,Sí,Sí,,Sí,,Sí,Sí,,120V,,Google Assistant,50 Hz x 60 Hz,,
8,"Smart TV Samsung Series 7 UN58AU7000FXZX LED 4K 58"" 110V - 127V",MX,4.8,Televisores,$,18999,9959,47,1000,1,None,72,https://www.mercadolibre.com.mx/smart-tv-samsung-series-7-un58au7000fxzx-led-4k-58-110v-127v/p/MLM18648382?pdp_filters=category:MLM1002#searchVariation=MLM18648382&position=12&search_layout=stack&type,22/03/2023 11:30:27,Samsung,Series 7,UN58AU7000F,UN58AU7000FXZX,,Sí,,No,,,Tizen,Sí,Sí,Sí,1291 mm x 59.9 mm x 748.6 mm,,1291 mm,250.2 mm,824.3 mm,,2,20 W,"Dolby Digital Plus, Q-Symphony Lite, Adaptive Sound","Control remoto TM2140A, Baterías, Manual, Manual electrónico, Cable de alimentación",Sí,,"Web browser, Gallery, Netflix, Prime Video, Hulu, Apple TV, Disney+, HBO Max, YouTube, Vudu, YouTube TV, ESPN, Samsung TV Plus",LED,"58 """,4K,Sí,3840 px - 2160 px,,,16:9,,,,,Sí,Sí,3,1,Sí,Sí,Sí,,Sí,No,No,Sí,,110V - 127V,,,50 Hz x 60 Hz,,
9," Pantalla portátil Supersonic SC-2816 LED 16"" 100V/240V",MX,5.0,Televisores,$,3399,3059,10,5,1,None,2,https://www.mercadolibre.com.mx/pantalla-portatil-supersonic-sc-2816-led-16-100v240v/p/MLM21283671?pdp_filters=category:MLM1002#searchVariation=MLM21283671&position=13&search_layout=stack&type=product,22/03/2023 11:30:31,Supersonic,,SC-2816,,,,,No,Sí,,,,,,"14.8 "" x 1.1 "" x 9.1 """,2.44 lb,,,,,2,2 W,,"Control remoto, Baterías, Antena",,,,LED,"16 """,,,1366 px x 768 px,165°,165°,16:9,300:1,500 cd/m²,8 ms,,Sí,Sí,1,1,,,,,,,Sí,Sí,,100V/240V,,,,,
10,Smart Tv Hisense 32  Led Fhd 1080p 120hz Android Bluetooth Google Assistant Alexa ,MX,4.2,Televisores,$,4999,3999,20,100,1,None,24,https://www.mercadolibre.com.mx/smart-tv-hisense-32-led-fhd-1080p-120hz-android-bluetooth-google-assistant-alexa/p/MLM21361079?pdp_filters=category:MLM1002#searchVariation=MLM21361079&position=15&sear,22/03/2023 11:30:38,Hisense,A45H,32A45FH,32A45FH,Negro,Sí,No,No,No,,Android,Sí,No,Sí,72.13 cm x 7.3 cm x 42.92 cm,3.7 kg,72.13 cm,46 cm,16.5 cm,3.9 kg,2,6 W,DTS Virtual:X,,,Sí,"Disney+, HBO Now, Hulu, Netflix, Pandora, Prime Video, SHOWTIME, Sling TV, YouTube",LED,"32 """,Full HD,Sí,,,,,,,,,Sí,Sí,2,2,Sí,Sí,Sí,,,Sí,No,Sí,,120V,,"Alexa, Google Assistant",120 Hz,,
11,"Smart TV LG AUB Series 55UQ8000AUB LED 4K 55"" 120V",MX,4.6,Televisores,$,,7999,,500,1,None,66,https://www.mercadolibre.com.mx/smart-tv-lg-aub-series-55uq8000aub-led-4k-55-120v/p/MLM19832378?pdp_filters=category:MLM1002#searchVariation=MLM19832378&position=16&search_layout=stack&type=product&tr,22/03/2023 11:30:41,LG,AUB Series,55UQ8000,55UQ8000AUB,,Sí,,No,,,webOS 22,,,Sí,"48.6 "" x 2.3 "" x 28.1 """,30.9 lb,"48.6 ""","9.1 ""","30.6 """,31.3 lb,2,20 W,"AI Sound Pro, Sound Share, Dolby Digital, LG Sound Sync","Control remoto, Cable de alimentación, Manual electrónico, Baterías, Guía de instalación",Sí,Sí,"Prime Video, Netflix, Apple TV, Disney+, HBO Max, LG Channels, Hulu, Peacock, Spotify, iHeartRadio, CBS All Access, LG Content Store",LED,"55 """,4K,Sí,3840 px - 2160 px,,,16:9,,,,60 Hz,Sí,Sí,2,1,Sí,Sí,Sí,,Sí,,,Sí,,120V,,ThinQ AI,50 Hz x 60 Hz,,
